date,campaign,spend,impressions,clicks,conversions
2021-02-27,tet_promotion,792.92,31456,910,90
2021-02-28,tet_promotion,685.49,28480,1049,67
2021-03-01,spring_campaign,562.64,30020,764,55
2021-03-02,spring_campaign,579.8,31676,999,84
2021-03-03,spring_campaign,438.43,21826,766,80
2021-03-04,spring_campaign,459.64,28876,1084,66
2021-03-05,spring_campaign,509.85,31293,684,50
2021-03-06,spring_campaign,489.68,23663,754,58
2021-03-07,spring_campaign,371.77,19461,572,46
2021-03-08,spring_campaign,440.98,21561,590,41
2021-03-09,spring_campaign,482.16,22599,860,58
2021-03-10,spring_campaign,596.42,30666,891,64
2021-03-11,spring_campaign,481.34,25932,696,58
2021-03-12,spring_campaign,483.56,26197,996,45
2021-03-13,spring_campaign,428.02,21153,717,79
2021-03-14,spring_campaign,335.04,16195,495,47
2021-03-15,spring_campaign,535.0,26316,950,78
2021-03-16,spring_campaign,535.13,28899,1003,83
2021-03-17,spring_campaign,381.47,18357,631,45
2021-03-18,spring_campaign,372.09,19466,668,61
2021-03-19,spring_campaign,396.09,20867,725,52
2021-03-20,spring_campaign,531.68,28986,782,72
2021-03-21,spring_campaign,429.49,26975,842,89
2021-03-22,spring_campaign,639.69,36532,1267,99
2021-03-23,spring_campaign,465.03,27199,1148,116
2021-03-24,spring_campaign,390.0,23904,685,75
2021-03-25,spring_campaign,554.47,31467,820,75
2021-03-26,spring_campaign,400.67,19783,622,36
2021-03-27,spring_campaign,459.93,25659,934,69
2021-03-28,spring_campaign,413.25,25396,971,56
2021-03-29,spring_campaign,498.28,29617,844,82
2021-03-30,spring_campaign,432.34,22193,573,58
2021-03-31,spring_campaign,370.85,12722,311,22
2021-04-01,summer_promotion,421.22,25916,687,50
2021-04-02,summer_promotion,558.01,31547,764,41
2021-04-03,summer_promotion,451.41,25269,752,67
2021-04-04,summer_promotion,473.6,27725,909,74
2021-04-05,summer_promotion,608.44,33467,1097,66
2021-04-06,summer_promotion,589.9,30934,1051,90
2021-04-07,summer_promotion,521.17,29234,1156,105
2021-04-08,summer_promotion,570.43,31052,1155,84
2021-04-09,summer_promotion,569.57,29360,726,68
2021-04-10,summer_promotion,661.56,34354,1077,100
2021-04-11,summer_promotion,749.22,39973,1675,174
2021-04-12,summer_promotion,382.48,20349,706,56
2021-04-13,summer_promotion,677.75,37926,1322,106
2021-04-14,summer_promotion,391.41,21878,586,56
2021-04-15,summer_promotion,592.3,41773,1421,81
2021-04-16,summer_promotion,798.64,45347,1728,180
2021-04-17,summer_promotion,476.79,22888,829,56
2021-04-18,summer_promotion,384.79,19166,595,55
2021-04-19,summer_promotion,520.01,25819,881,74
2021-04-20,summer_promotion,646.08,29971,1267,84
2021-04-21,summer_promotion,678.22,40108,1135,93
2021-04-22,summer_promotion,516.09,29700,1095,91
2021-04-23,summer_promotion,592.54,29517,1057,99
2021-04-24,summer_promotion,548.72,26430,987,69
2021-04-25,summer_promotion,518.36,25628,862,71
2021-04-26,summer_promotion,439.51,22412,655,63
2021-04-27,summer_promotion,810.7,51674,2113,226
2021-04-28,summer_promotion,526.62,27361,726,71
2021-04-29,summer_promotion,600.28,29311,1027,85
2021-04-30,summer_promotion,672.89,35582,1049,89
2021-05-01,summer_promotion,566.56,33556,1037,80
2021-05-02,summer_promotion,588.06,27581,820,77
2021-05-03,summer_promotion,478.88,28720,838,67
2021-05-04,summer_promotion,621.38,33809,875,51
2021-05-05,summer_promotion,589.16,28257,859,79
2021-05-06,summer_promotion,543.21,27323,720,60
2021-05-07,summer_promotion,801.37,38529,954,73
2021-05-08,summer_promotion,687.49,35667,1118,91
2021-05-09,summer_promotion,582.1,27984,719,59
2021-05-10,summer_promotion,754.49,33064,1013,80
2021-05-11,summer_promotion,520.69,28290,809,77
2021-05-12,summer_promotion,483.64,21889,677,61
2021-05-13,summer_promotion,857.16,44957,1814,110
2021-05-14,summer_promotion,659.52,40868,1295,125
2021-05-15,summer_promotion,537.76,27329,853,79
2021-05-16,summer_promotion,380.19,23553,729,53
2021-05-17,summer_promotion,686.11,37747,1701,114
2021-05-18,summer_promotion,548.09,27958,1087,78
2021-05-19,summer_promotion,421.26,16383,396,33
2021-05-20,summer_promotion,481.06,29092,698,56
2021-05-21,summer_promotion,412.93,21483,594,44
2021-05-22,summer_promotion,359.93,20951,583,42
2021-05-23,summer_promotion,492.51,24468,917,89
2021-05-24,summer_promotion,570.76,26559,848,62
2021-05-25,summer_promotion,313.64,15274,487,34
2021-05-26,summer_promotion,511.44,29724,1080,57
2021-05-27,summer_promotion,589.08,31515,1046,75
2021-05-28,summer_promotion,573.44,23054,677,61
2021-05-29,summer_promotion,417.83,20697,566,47
2021-05-30,summer_promotion,663.08,33057,1358,97
2021-05-31,summer_promotion,636.01,35504,897,59
2021-06-01,summer_promotion,554.46,25584,611,46
2021-06-02,summer_promotion,392.76,20293,582,50
2021-06-03,summer_promotion,654.57,27683,808,73
2021-06-04,summer_promotion,815.17,42992,1378,97
2021-06-05,summer_promotion,792.15,39781,1340,125
2021-06-06,summer_promotion,411.72,18192,444,35
2021-06-07,summer_promotion,621.17,29616,1191,82
2021-06-08,summer_promotion,573.42,29245,741,53
2021-06-09,summer_promotion,527.61,23117,696,44
2021-06-10,summer_promotion,637.09,28908,719,46
2021-06-11,summer_promotion,576.5,34444,845,74
2021-06-12,summer_promotion,616.1,30757,1051,92
2021-06-13,summer_promotion,488.85,19631,613,45
2021-06-14,summer_promotion,556.72,30838,1266,94
2021-06-15,summer_promotion,647.96,34905,993,66
2021-06-16,summer_promotion,405.4,16464,547,48
2021-06-17,summer_promotion,469.27,26914,854,68
2021-06-18,summer_promotion,464.01,22461,782,68
2021-06-19,summer_promotion,528.97,30677,1032,63
2021-06-20,summer_promotion,700.76,36788,1537,107
2021-06-21,summer_promotion,342.04,19486,790,61
2021-06-22,summer_promotion,582.97,38508,1425,134
2021-06-23,summer_promotion,515.14,25561,649,42
2021-06-24,summer_promotion,554.14,31311,1296,137
2021-06-25,summer_promotion,594.92,32616,1121,91
2021-06-26,summer_promotion,728.52,36319,1111,69
2021-06-27,summer_promotion,427.25,23989,890,85
2021-06-28,summer_promotion,664.61,31941,1320,121
2021-06-29,summer_promotion,532.76,28630,796,57
2021-06-30,summer_promotion,594.4,30569,1008,86
2021-07-01,back_to_school,377.97,23148,980,71
2021-07-02,back_to_school,574.85,34199,1102,95
2021-07-03,back_to_school,466.43,23773,797,81
2021-07-04,back_to_school,546.05,32580,1099,90
2021-07-05,back_to_school,611.11,34753,1323,140
2021-07-06,back_to_school,580.49,32988,1233,95
2021-07-07,back_to_school,512.27,30307,806,47
2021-07-08,back_to_school,447.05,25688,860,70
2021-07-09,back_to_school,529.36,25415,814,60
2021-07-10,back_to_school,620.16,33269,1181,106
2021-07-11,back_to_school,520.44,26706,779,71
2021-07-12,back_to_school,590.2,28450,864,75
2021-07-13,back_to_school,535.59,31722,1044,107
2021-07-14,back_to_school,468.1,26583,814,57
2021-07-15,back_to_school,252.06,13043,418,37
2021-07-16,back_to_school,635.65,35238,1072,74
2021-07-17,back_to_school,480.72,26533,624,39
2021-07-18,back_to_school,516.43,31787,1029,96
2021-07-19,back_to_school,498.96,23371,678,60
2021-07-20,back_to_school,473.79,25269,832,92
2021-07-21,back_to_school,655.87,28090,714,66
2021-07-22,back_to_school,517.18,29006,1018,100
2021-07-23,back_to_school,313.23,14810,302,30
2021-07-24,back_to_school,529.22,26913,855,80
2021-07-25,back_to_school,540.88,24008,824,81
2021-07-26,back_to_school,484.63,26532,710,75
2021-07-27,back_to_school,416.08,21094,678,57
2021-07-28,back_to_school,565.51,26076,885,63
2021-07-29,back_to_school,519.28,28642,796,33
2021-07-30,back_to_school,657.89,34329,949,96
2021-07-31,back_to_school,655.1,35534,1397,124
2021-08-01,back_to_school,481.55,24502,902,73
2021-08-02,back_to_school,446.36,24398,837,66
2021-08-03,back_to_school,564.65,34518,1108,112
2021-08-04,back_to_school,542.31,31484,993,82
2021-08-05,back_to_school,401.15,22057,280,18
2021-08-06,back_to_school,450.66,21985,818,52
2021-08-07,back_to_school,524.41,28922,1030,92
2021-08-08,back_to_school,556.15,31148,1262,79
2021-08-09,back_to_school,376.41,20123,649,61
2021-08-10,back_to_school,523.61,31091,679,49
2021-08-11,back_to_school,571.75,29264,1024,78
2021-08-12,back_to_school,479.87,27784,981,78
2021-08-13,back_to_school,659.62,33603,1122,51
2021-08-14,back_to_school,597.06,36787,1275,92
2021-08-15,back_to_school,618.3,33703,938,64
2021-08-16,back_to_school,567.69,27596,779,75
2021-08-17,back_to_school,597.41,35882,1051,93
2021-08-18,back_to_school,717.78,37383,1084,101
2021-08-19,back_to_school,583.96,26685,919,88
2021-08-20,back_to_school,399.98,17366,495,41
2021-08-21,back_to_school,532.77,30218,810,84
2021-08-22,back_to_school,699.68,39480,1182,90
2021-08-23,back_to_school,561.48,30439,1001,73
2021-08-24,back_to_school,529.0,26430,706,47
2021-08-25,back_to_school,388.37,22562,555,42
2021-08-26,back_to_school,534.06,30083,898,83
2021-08-27,back_to_school,489.81,25178,728,48
2021-08-28,back_to_school,473.5,24665,794,84
2021-08-29,back_to_school,369.2,18499,505,46
2021-08-30,back_to_school,608.75,31103,866,82
2021-08-31,back_to_school,527.72,22976,649,53
2021-09-01,coffee_expansion_campaign,458.92,24363,1122,67
2021-09-01,mid_autumn_campaign,405.88,27782,749,59
2021-09-02,mid_autumn_campaign,498.48,27069,729,53
2021-09-02,coffee_expansion_campaign,410.01,33520,1174,70
2021-09-03,coffee_expansion_campaign,768.42,40501,1435,93
2021-09-03,mid_autumn_campaign,509.68,29011,1013,84
2021-09-04,coffee_expansion_campaign,590.32,29326,1345,108
2021-09-04,mid_autumn_campaign,463.25,25057,749,47
2021-09-05,coffee_expansion_campaign,782.69,35484,1306,103
2021-09-05,mid_autumn_campaign,389.15,22020,641,49
2021-09-06,mid_autumn_campaign,547.15,27886,805,79
2021-09-06,coffee_expansion_campaign,638.92,30851,1075,67
2021-09-07,coffee_expansion_campaign,341.34,30598,1265,107
2021-09-07,mid_autumn_campaign,438.04,19248,551,46
2021-09-08,coffee_expansion_campaign,555.68,24026,955,77
2021-09-08,mid_autumn_campaign,626.62,33913,1202,78
2021-09-09,mid_autumn_campaign,553.92,23233,850,78
2021-09-09,coffee_expansion_campaign,589.56,36809,1799,122
2021-09-10,coffee_expansion_campaign,628.49,29580,1475,92
2021-09-10,mid_autumn_campaign,679.37,37184,1304,104
2021-09-11,mid_autumn_campaign,424.66,23184,860,55
2021-09-11,coffee_expansion_campaign,633.27,29689,1369,87
2021-09-12,mid_autumn_campaign,538.28,34069,856,48
2021-09-12,coffee_expansion_campaign,539.07,30897,1407,83
2021-09-13,coffee_expansion_campaign,735.11,35543,1737,112
2021-09-13,mid_autumn_campaign,394.39,16430,604,47
2021-09-14,coffee_expansion_campaign,586.04,32754,1375,103
2021-09-14,mid_autumn_campaign,403.71,17396,620,46
2021-09-15,coffee_expansion_campaign,631.76,34995,1466,116
2021-09-15,mid_autumn_campaign,488.77,26728,1079,80
2021-09-16,coffee_expansion_campaign,604.64,26033,1015,60
2021-09-16,mid_autumn_campaign,592.81,35824,1188,126
2021-09-17,coffee_expansion_campaign,627.11,25430,1064,91
2021-09-17,mid_autumn_campaign,385.63,21364,832,89
2021-09-18,mid_autumn_campaign,576.28,34503,816,70
2021-09-18,coffee_expansion_campaign,629.74,29824,1457,97
2021-09-19,coffee_expansion_campaign,711.96,31063,1143,93
2021-09-19,mid_autumn_campaign,513.93,26401,677,50
2021-09-20,mid_autumn_campaign,640.94,33454,972,107
2021-09-20,coffee_expansion_campaign,571.6,27785,1141,93
2021-09-21,mid_autumn_campaign,573.29,30773,1088,66
2021-09-21,coffee_expansion_campaign,564.76,31361,1518,91
2021-09-22,coffee_expansion_campaign,624.27,28793,1286,84
2021-09-22,mid_autumn_campaign,426.91,26490,735,59
2021-09-23,coffee_expansion_campaign,605.28,25953,936,74
2021-09-23,mid_autumn_campaign,619.87,35763,1064,78
2021-09-24,mid_autumn_campaign,461.44,26862,716,62
2021-09-24,coffee_expansion_campaign,640.68,30366,1294,106
2021-09-25,mid_autumn_campaign,559.75,31629,1024,60
2021-09-25,coffee_expansion_campaign,677.01,33051,1137,96
2021-09-26,mid_autumn_campaign,551.67,34128,1268,104
2021-09-26,coffee_expansion_campaign,556.8,33826,1692,136
2021-09-27,coffee_expansion_campaign,666.6,31274,1146,89
2021-09-27,mid_autumn_campaign,433.7,21366,651,44
2021-09-28,mid_autumn_campaign,333.86,13651,371,30
2021-09-28,coffee_expansion_campaign,421.49,31955,1527,106
2021-09-29,mid_autumn_campaign,566.24,36753,1298,119
2021-09-29,coffee_expansion_campaign,567.48,30842,1336,92
2021-09-30,mid_autumn_campaign,671.96,34348,1400,143
2021-09-30,coffee_expansion_campaign,452.14,21164,734,47
2021-10-01,mid_autumn_campaign,481.7,27276,899,73
2021-10-01,coffee_expansion_campaign,705.85,30405,1254,98
2021-10-02,coffee_expansion_campaign,565.99,28271,989,68
2021-10-02,mid_autumn_campaign,570.77,31144,1090,94
2021-10-03,coffee_expansion_campaign,614.64,26982,937,80
2021-10-03,mid_autumn_campaign,490.26,23828,900,82
2021-10-04,mid_autumn_campaign,551.62,26645,969,91
2021-10-04,coffee_expansion_campaign,578.37,28940,1229,72
2021-10-05,coffee_expansion_campaign,653.74,36076,1783,114
2021-10-05,mid_autumn_campaign,681.01,38059,1014,94
2021-10-06,coffee_expansion_campaign,523.86,31168,1147,85
2021-10-06,mid_autumn_campaign,365.31,20854,854,75
2021-10-07,coffee_expansion_campaign,601.64,34435,1235,102
2021-10-07,mid_autumn_campaign,392.39,22486,635,47
2021-10-08,coffee_expansion_campaign,564.27,36548,1681,131
2021-10-08,mid_autumn_campaign,356.55,18599,619,60
2021-10-09,mid_autumn_campaign,560.31,30148,1050,103
2021-10-09,coffee_expansion_campaign,471.52,30067,1158,69
2021-10-10,mid_autumn_campaign,486.09,25008,790,52
2021-10-10,coffee_expansion_campaign,653.57,29892,1004,77
2021-10-11,mid_autumn_campaign,550.49,35598,1018,89
2021-10-11,coffee_expansion_campaign,655.29,29016,1196,85
2021-10-12,coffee_expansion_campaign,370.19,25165,852,59
2021-10-12,mid_autumn_campaign,505.2,23108,863,69
2021-10-13,mid_autumn_campaign,535.13,27753,856,64
2021-10-13,coffee_expansion_campaign,477.47,31376,1095,65
2021-10-14,mid_autumn_campaign,620.19,33628,984,84
2021-10-14,coffee_expansion_campaign,497.28,29042,1334,110
2021-10-15,coffee_expansion_campaign,526.33,24061,847,55
2021-10-15,mid_autumn_campaign,519.72,29506,931,75
2021-10-16,mid_autumn_campaign,366.18,17800,416,34
2021-10-17,mid_autumn_campaign,553.08,34760,915,68
2021-10-18,mid_autumn_campaign,626.58,32282,1081,91
2021-10-19,mid_autumn_campaign,382.0,19700,782,72
2021-10-20,mid_autumn_campaign,649.67,35983,996,89
2021-10-21,mid_autumn_campaign,469.53,25728,978,114
2021-10-22,mid_autumn_campaign,516.68,26124,908,79
2021-10-23,mid_autumn_campaign,482.32,24564,739,57
2021-10-24,mid_autumn_campaign,383.52,21981,743,62
2021-10-25,mid_autumn_campaign,302.5,15718,591,53
2021-10-26,mid_autumn_campaign,412.85,21478,750,58
2021-10-27,mid_autumn_campaign,542.6,24119,790,73
2021-10-28,mid_autumn_campaign,333.89,19088,536,39
2021-10-29,mid_autumn_campaign,435.52,22687,778,59
2021-10-30,mid_autumn_campaign,416.97,22492,722,59
2021-10-31,mid_autumn_campaign,271.95,15957,545,41
2021-11-01,year_end_promotion,738.16,46876,1327,106
2021-11-02,year_end_promotion,803.98,39662,1380,92
2021-11-03,year_end_promotion,767.12,36515,814,58
2021-11-04,year_end_promotion,635.4,29867,978,72
2021-11-05,year_end_promotion,919.59,46926,1551,134
2021-11-06,year_end_promotion,582.29,33326,1227,102
2021-11-07,year_end_promotion,821.18,45494,1065,100
2021-11-08,year_end_promotion,356.52,19119,499,27
2021-11-09,year_end_promotion,610.78,27549,911,70
2021-11-10,year_end_promotion,499.92,21678,591,60
2021-11-11,year_end_promotion,670.94,38582,1439,124
2021-11-12,year_end_promotion,678.19,38203,1400,134
2021-11-13,year_end_promotion,520.33,25169,739,78
2021-11-14,year_end_promotion,784.61,37358,1211,113
2021-11-15,year_end_promotion,759.92,43122,1429,126
2021-11-16,year_end_promotion,573.07,33458,1107,100
2021-11-17,year_end_promotion,794.09,46658,1752,82
2021-11-18,year_end_promotion,965.3,39644,1084,112
2021-11-19,year_end_promotion,777.55,46548,1812,138
2021-11-20,year_end_promotion,917.77,47043,1377,108
2021-11-21,year_end_promotion,601.82,30238,801,63
2021-11-22,year_end_promotion,592.62,27988,1001,85
2021-11-23,year_end_promotion,574.39,38626,1143,102
2021-11-24,year_end_promotion,913.38,46201,897,92
2021-11-25,year_end_promotion,1085.19,63381,1547,155
2021-11-26,year_end_promotion,738.58,41742,1174,70
2021-11-27,year_end_promotion,618.21,31353,1047,62
2021-11-28,year_end_promotion,526.55,27502,947,83
2021-11-29,year_end_promotion,631.58,33500,1116,88
2021-11-30,year_end_promotion,466.31,25196,810,64
2021-12-01,year_end_promotion,761.97,41779,1348,137
2021-12-02,year_end_promotion,608.86,33631,966,63
2021-12-03,year_end_promotion,850.95,46991,1609,159
2021-12-04,year_end_promotion,855.21,42752,876,71
2021-12-05,year_end_promotion,617.04,30654,1238,94
2021-12-06,year_end_promotion,668.01,38681,1226,88
2021-12-07,year_end_promotion,972.37,45623,1576,139
2021-12-08,year_end_promotion,905.67,43189,1405,111
2021-12-09,year_end_promotion,526.1,27842,841,73
2021-12-10,year_end_promotion,661.35,34221,1307,145
2021-12-11,year_end_promotion,828.43,46435,1177,84
2021-12-12,year_end_promotion,832.13,48356,1533,151
2021-12-13,year_end_promotion,591.32,27978,731,67
2021-12-14,year_end_promotion,700.44,37710,1307,119
2021-12-15,year_end_promotion,502.09,27348,1038,88
2021-12-16,year_end_promotion,731.0,49072,1357,111
2021-12-17,year_end_promotion,670.1,37185,1067,88
2021-12-18,year_end_promotion,666.45,39537,1393,145
2021-12-19,year_end_promotion,782.72,38755,1246,103
2021-12-20,year_end_promotion,646.18,39348,1107,89
2021-12-21,year_end_promotion,698.13,28588,915,100
2021-12-22,year_end_promotion,813.66,42277,1027,79
2021-12-23,year_end_promotion,921.85,47187,1335,83
2021-12-24,year_end_promotion,701.95,36177,1324,105
2021-12-25,year_end_promotion,819.19,40541,1625,174
2021-12-26,year_end_promotion,623.6,33206,1307,116
2021-12-27,year_end_promotion,844.39,46258,1240,103
2021-12-28,year_end_promotion,872.17,58740,2334,210
2021-12-29,year_end_promotion,828.48,48552,1892,170
2021-12-30,year_end_promotion,943.99,50843,1776,165
2021-12-31,year_end_promotion,685.84,37577,1268,118
2022-01-01,tet_promotion,788.51,43543,1320,93
2022-01-02,tet_promotion,1119.85,55834,2054,155
2022-01-03,tet_promotion,847.44,41890,1186,90
2022-01-04,tet_promotion,885.57,39257,1341,103
2022-01-05,tet_promotion,660.13,30252,817,68
2022-01-06,tet_promotion,920.76,47586,1202,88
2022-01-07,tet_promotion,997.72,49533,1361,92
2022-01-08,tet_promotion,1176.15,65987,1867,176
2022-01-09,tet_promotion,632.25,34643,943,40
2022-01-10,tet_promotion,822.26,34554,1318,116
2022-01-11,tet_promotion,838.32,41386,1255,100
2022-01-12,tet_promotion,832.67,48052,1688,140
2022-01-13,tet_promotion,719.3,31678,777,83
2022-01-14,tet_promotion,907.46,53532,1466,121
2022-01-15,tet_promotion,851.76,47843,1274,105
2022-01-16,tet_promotion,553.82,28085,968,74
2022-01-17,tet_promotion,814.48,41205,1545,134
2022-01-18,tet_promotion,677.8,36468,1342,116
2022-01-19,tet_promotion,791.44,37945,1274,101
2022-01-20,tet_promotion,890.97,45718,1328,90
2022-01-21,tet_promotion,852.41,56181,1783,132
2022-01-22,tet_promotion,922.97,54725,1604,168
2022-01-23,tet_promotion,1109.26,56189,2190,178
2022-01-24,tet_promotion,754.03,45799,1966,181
2022-01-25,tet_promotion,725.34,43619,1460,132
2022-01-26,tet_promotion,946.32,41313,1368,111
2022-01-27,tet_promotion,650.26,29002,595,38
2022-01-28,tet_promotion,710.4,35461,1318,92
2022-01-29,tet_promotion,856.21,41380,1195,83
2022-01-30,tet_promotion,915.54,54139,1845,179
2022-01-31,tet_promotion,728.13,41414,1419,81
2022-02-01,tet_promotion,842.87,51237,2152,168
2022-02-02,tet_promotion,626.93,36456,1168,100
2022-02-03,tet_promotion,790.67,49260,1622,176
2022-02-04,tet_promotion,663.85,32839,1135,100
2022-02-05,tet_promotion,824.8,40556,1628,149
2022-02-06,tet_promotion,966.41,49518,1383,78
2022-02-07,tet_promotion,940.23,50061,1655,162
2022-02-08,tet_promotion,808.09,42339,1347,133
2022-02-09,tet_promotion,693.88,35599,1121,112
2022-02-10,tet_promotion,518.18,26888,809,70
2022-02-11,tet_promotion,744.04,41900,1254,86
2022-02-12,tet_promotion,931.11,54900,1768,145
2022-02-13,tet_promotion,655.88,31291,913,55
2022-02-14,tet_promotion,807.21,38128,1131,77
2022-02-15,tet_promotion,922.05,51918,1768,133
2022-02-16,tet_promotion,905.12,48224,1387,134
2022-02-17,tet_promotion,912.4,49841,1522,107
2022-02-18,tet_promotion,709.77,36766,1142,108
2022-02-19,tet_promotion,842.1,50227,1723,152
2022-02-20,tet_promotion,706.77,35835,941,73
2022-02-21,tet_promotion,665.55,41828,1377,134
2022-02-22,tet_promotion,984.48,44942,1712,155
2022-02-23,tet_promotion,1052.31,54470,1929,195
2022-02-24,tet_promotion,771.72,37849,1569,122
2022-02-25,tet_promotion,1249.99,61800,1591,146
2022-02-26,tet_promotion,842.18,41616,1412,78
2022-02-27,tet_promotion,1097.13,54409,1348,75
2022-02-28,tet_promotion,830.43,51991,1523,128
2022-03-01,spring_campaign,595.88,29388,1062,67
2022-03-01,food_launch_campaign,557.28,28014,1002,56
2022-03-02,food_launch_campaign,570.73,24499,922,60
2022-03-02,spring_campaign,445.11,21929,510,58
2022-03-03,food_launch_campaign,804.01,23735,1018,66
2022-03-03,spring_campaign,461.7,24183,702,59
2022-03-04,spring_campaign,563.37,32863,1148,103
2022-03-04,food_launch_campaign,724.95,40802,1269,81
2022-03-05,spring_campaign,591.58,26106,823,75
2022-03-05,food_launch_campaign,794.08,46796,1752,98
2022-03-06,spring_campaign,372.84,18018,329,29
2022-03-06,food_launch_campaign,790.45,41696,1822,133
2022-03-07,spring_campaign,430.42,22104,757,47
2022-03-07,food_launch_campaign,748.96,33866,1056,80
2022-03-08,spring_campaign,523.41,27883,889,84
2022-03-08,food_launch_campaign,901.59,37640,1402,81
2022-03-09,spring_campaign,489.21,30929,1039,97
2022-03-09,food_launch_campaign,653.44,46782,1537,86
2022-03-10,food_launch_campaign,461.01,32185,1380,99
2022-03-10,spring_campaign,533.62,21095,910,67
2022-03-11,food_launch_campaign,738.29,45903,1521,109
2022-03-11,spring_campaign,439.47,22757,724,73
2022-03-12,food_launch_campaign,647.26,38507,1741,115
2022-03-12,spring_campaign,466.66,27795,622,51
2022-03-13,food_launch_campaign,786.84,42184,1562,85
2022-03-13,spring_campaign,516.23,32401,1485,119
2022-03-14,food_launch_campaign,853.92,40410,1469,78
2022-03-14,spring_campaign,383.08,22207,665,41
2022-03-15,food_launch_campaign,639.77,42043,1725,97
2022-03-15,spring_campaign,355.81,16630,543,48
2022-03-16,spring_campaign,538.75,29317,963,71
2022-03-16,food_launch_campaign,856.69,33781,1071,72
2022-03-17,food_launch_campaign,541.25,37982,1566,91
2022-03-17,spring_campaign,681.95,39649,1424,151
2022-03-18,food_launch_campaign,763.16,39613,1642,95
2022-03-18,spring_campaign,525.35,25369,823,69
2022-03-19,spring_campaign,491.73,23290,460,35
2022-03-19,food_launch_campaign,646.12,43110,1590,114
2022-03-20,spring_campaign,469.86,22408,775,45
2022-03-20,food_launch_campaign,848.42,42978,1533,101
2022-03-21,food_launch_campaign,615.84,47867,1972,151
2022-03-21,spring_campaign,453.1,28539,955,58
2022-03-22,food_launch_campaign,813.82,40440,1707,103
2022-03-22,spring_campaign,488.0,26326,769,53
2022-03-23,food_launch_campaign,779.14,29539,1330,91
2022-03-23,spring_campaign,606.33,31381,1281,112
2022-03-24,food_launch_campaign,613.48,46906,2046,151
2022-03-24,spring_campaign,401.44,18594,484,35
2022-03-25,food_launch_campaign,659.95,36544,1265,96
2022-03-25,spring_campaign,459.92,28175,730,68
2022-03-26,food_launch_campaign,794.69,36713,1253,89
2022-03-26,spring_campaign,360.84,17752,703,53
2022-03-27,food_launch_campaign,867.23,33122,1382,95
2022-03-27,spring_campaign,504.07,23663,898,77
2022-03-28,food_launch_campaign,669.87,44932,1720,98
2022-03-28,spring_campaign,464.47,30587,964,89
